chr1	249250621	0	249250621
chr2	243199373	249250621	492449994
chr3	198022430	492449994	690472424
chr4	191154276	690472424	881626700
chr5	180915260	881626700	1062541960
chr6	171115067	1062541960	1233657027
chr7	159138663	1233657027	1392795690
chrX	155270560	1392795690	1548066250
chr8	146364022	1548066250	1694430272
chr9	141213431	1694430272	1835643703
chr10	135534747	1835643703	1971178450
chr11	135006516	1971178450	2106184966
chr12	133851895	2106184966	2240036861
chr13	115169878	2240036861	2355206739
chr14	107349540	2355206739	2462556279
chr15	102531392	2462556279	2565087671
chr16	90354753	2565087671	2655442424
chr17	81195210	2655442424	2736637634
chr18	78077248	2736637634	2814714882
chr20	63025520	2814714882	2877740402
chrY	59373566	2877740402	2937113968
chr19	59128983	2937113968	2996242951
chr22	51304566	2996242951	3047547517
chr21	48129895	3047547517	3095677412
chr6_ssto_hap7	4928567	3095677412	3100605979
chr6_mcf_hap5	4833398	3100605979	3105439377
chr6_cox_hap2	4795371	3105439377	3110234748
chr6_mann_hap4	4683263	3110234748	3114918011
chr6_apd_hap1	4622290	3114918011	3119540301
chr6_qbl_hap6	4611984	3119540301	3124152285
chr6_dbb_hap3	4610396	3124152285	3128762681
chr17_ctg5_hap1	1680828	3128762681	3130443509
chr4_ctg9_hap1	590426	3130443509	3131033935
chr1_gl000192_random	547496	3131033935	3131581431
chrUn_gl000225	211173	3131581431	3131792604
chr4_gl000194_random	191469	3131792604	3131984073
chr4_gl000193_random	189789	3131984073	3132173862
chr9_gl000200_random	187035	3132173862	3132360897
chrUn_gl000222	186861	3132360897	3132547758
chrUn_gl000212	186858	3132547758	3132734616
chr7_gl000195_random	182896	3132734616	3132917512
chrUn_gl000223	180455	3132917512	3133097967
chrUn_gl000224	179693	3133097967	3133277660
chrUn_gl000219	179198	3133277660	3133456858
chr17_gl000205_random	174588	3133456858	3133631446
chrUn_gl000215	172545	3133631446	3133803991
chrUn_gl000216	172294	3133803991	3133976285
chrUn_gl000217	172149	3133976285	3134148434
chr9_gl000199_random	169874	3134148434	3134318308
chrUn_gl000211	166566	3134318308	3134484874
chrUn_gl000213	164239	3134484874	3134649113
chrUn_gl000220	161802	3134649113	3134810915
chrUn_gl000218	161147	3134810915	3134972062
chr19_gl000209_random	159169	3134972062	3135131231
chrUn_gl000221	155397	3135131231	3135286628
chrUn_gl000214	137718	3135286628	3135424346
chrUn_gl000228	129120	3135424346	3135553466
chrUn_gl000227	128374	3135553466	3135681840
chr1_gl000191_random	106433	3135681840	3135788273
chr19_gl000208_random	92689	3135788273	3135880962
chr9_gl000198_random	90085	3135880962	3135971047
chr17_gl000204_random	81310	3135971047	3136052357
chrUn_gl000233	45941	3136052357	3136098298
chrUn_gl000237	45867	3136098298	3136144165
chrUn_gl000230	43691	3136144165	3136187856
chrUn_gl000242	43523	3136187856	3136231379
chrUn_gl000243	43341	3136231379	3136274720
chrUn_gl000241	42152	3136274720	3136316872
chrUn_gl000236	41934	3136316872	3136358806
chrUn_gl000240	41933	3136358806	3136400739
chr17_gl000206_random	41001	3136400739	3136441740
chrUn_gl000232	40652	3136441740	3136482392
chrUn_gl000234	40531	3136482392	3136522923
chr11_gl000202_random	40103	3136522923	3136563026
chrUn_gl000238	39939	3136563026	3136602965
chrUn_gl000244	39929	3136602965	3136642894
chrUn_gl000248	39786	3136642894	3136682680
chr8_gl000196_random	38914	3136682680	3136721594
chrUn_gl000249	38502	3136721594	3136760096
chrUn_gl000246	38154	3136760096	3136798250
chr17_gl000203_random	37498	3136798250	3136835748
chr8_gl000197_random	37175	3136835748	3136872923
chrUn_gl000245	36651	3136872923	3136909574
chrUn_gl000247	36422	3136909574	3136945996
chr9_gl000201_random	36148	3136945996	3136982144
chrUn_gl000235	34474	3136982144	3137016618
chrUn_gl000239	33824	3137016618	3137050442
chr21_gl000210_random	27682	3137050442	3137078124
chrUn_gl000231	27386	3137078124	3137105510
chrUn_gl000229	19913	3137105510	3137125423
chrM	16571	3137125423	3137141994
chrUn_gl000226	15008	3137141994	3137157002
chr18_gl000207_random	4262	3137157002	3137161264
